case_id,requested_amount,submission_channel,product_type,product_complexity_index,completeness_flag,exception_flag,rework_indicator,stage1_processing_time,sla_breach_flag,risk_flag,customer_segment,recent_exception_rate,resource_workload,era,month_index,approval_verification_outcome,final_transaction_outcome
Application_1000522,9668.27,web,consumer,1,0,1,0,33.91,0,1,mass-affluent,0.119,16,1,14,returned-for-rework,A_Cancelled
Application_1000738,9062.38,web,mortgage,4,1,1,0,10.46,0,1,mass-affluent,0.044,7,1,11,escalated,O_Refused
Application_1000741,21028.45,branch,mortgage,4,1,0,0,24.32,0,1,affluent,0.045,10,1,10,validated,O_Accepted
Application_1000661,6059.61,web,consumer,1,0,1,0,40.84,1,1,mass-affluent,0.182,17,1,7,returned-for-rework,A_Denied
Application_1000412,13237.67,branch,mortgage,4,1,0,0,24.12,0,0,mass-affluent,0.126,11,0,3,validated,O_Accepted
Application_1000679,24910.16,branch,mortgage,5,1,0,1,29.57,0,1,affluent,0.238,11,1,11,validated,A_Denied
Application_1000627,4057.52,branch,mortgage,5,1,0,0,47.64,1,1,mass-market,0.077,12,0,6,validated,O_Refused
Application_1000514,41390.27,web,consumer,2,1,0,1,19.35,0,1,affluent,0.154,10,1,13,validated,A_Cancelled
Application_1000860,11819.35,partner,consumer,3,1,1,1,34.63,0,1,mass-affluent,0.287,13,0,5,escalated,O_Cancelled
Application_1000137,4383.45,partner,consumer,2,1,1,0,6.23,0,0,mass-market,0.071,1,1,9,escalated,O_Accepted
Application_1000812,8622.6,branch,consumer,2,0,1,0,29.03,0,1,mass-affluent,0.193,8,1,13,returned-for-rework,A_Cancelled
Application_1000077,46913.42,partner,mortgage,4,1,0,0,27.05,0,0,affluent,0.112,11,1,12,validated,A_Pending
Application_1000637,41893.66,branch,consumer,1,1,1,2,50.69,1,1,affluent,0.199,11,1,10,escalated,O_Accepted
Application_1000974,9731.35,web,consumer,2,1,1,0,17.45,0,1,mass-affluent,0.298,6,1,17,escalated,A_Denied
Application_1000939,19596.79,web,SME,4,0,1,2,49.78,1,1,mass-affluent,0.334,13,1,14,returned-for-rework,O_Refused
Application_1000900,16754.48,branch,consumer,1,1,1,0,21.16,0,1,mass-affluent,0.233,5,0,3,escalated,O_Cancelled
Application_1000281,13499.66,branch,consumer,2,1,0,0,26.44,0,0,mass-affluent,0.116,11,1,9,validated,O_Accepted
Application_1000884,12833.45,web,consumer,2,0,1,0,26.5,0,1,mass-affluent,0.092,15,1,11,returned-for-rework,O_Cancelled
Application_1000762,21751.96,web,consumer,1,0,0,1,36.75,1,1,affluent,0.238,13,1,11,returned-for-rework,A_Cancelled
Application_1000320,7924.1,web,mortgage,3,1,0,0,22.55,0,0,mass-affluent,0.16,9,0,2,validated,O_Accepted
Application_1000550,9810.31,web,mortgage,5,1,1,0,30.48,0,1,mass-affluent,0.23,11,1,18,escalated,A_Cancelled
Application_1000175,17224.82,web,mortgage,5,1,1,0,37.15,1,0,mass-affluent,0.131,14,1,11,escalated,O_Accepted
Application_1000372,13591.3,web,consumer,1,1,0,0,69.53,1,0,mass-affluent,0.182,9,1,11,validated,O_Accepted
Application_1000528,5078.94,partner,mortgage,3,1,0,1,18.5,0,1,mass-affluent,0.098,11,1,15,validated,O_Refused
Application_1000211,22580.36,branch,consumer,2,1,0,0,19.45,0,0,affluent,0.2,14,1,7,validated,O_Accepted
Application_1000236,15450.94,partner,mortgage,3,1,0,0,42.66,1,0,mass-affluent,0.156,11,1,16,validated,O_Accepted
